date,courier_id,work_hours,deliveries,bmi,avg_hr,steps
2024-05-17,C_01,8.1,126,27.9,96.0,22147
2024-05-18,C_01,9.8,128,25.6,94.5,19451
2024-05-19,C_01,10.4,109,24.3,77.7,28635
2024-05-20,C_01,10.4,125,22.5,75.1,26127
2024-05-21,C_01,8.6,84,26.5,90.1,18876
2024-05-22,C_01,10.6,91,25.5,97.9,20959
2024-05-23,C_01,10.4,95,21.3,86.7,15126
2024-05-24,C_01,10.7,105,27.3,87.1,18177
2024-05-25,C_01,10.1,105,26.6,78.4,26248
2024-05-26,C_01,9.7,127,27.6,93.1,23795
2024-05-27,C_01,9.3,100,25.8,75.6,26641
2024-05-28,C_01,8.5,118,24.9,79.7,21024
2024-05-29,C_01,10.8,115,23.3,82.8,20109
2024-05-30,C_01,10.9,112,27.5,85.2,19146
2024-05-31,C_01,8.1,109,26.9,77.3,22196
2024-06-01,C_01,8.2,116,20.4,73.4,26725
2024-06-02,C_01,8.9,102,20.2,88.3,26559
2024-06-03,C_01,8.8,89,23.0,78.7,18368
2024-06-04,C_01,11.0,84,26.5,87.4,18797
2024-06-05,C_01,7.7,115,27.9,74.6,28718
2024-06-06,C_01,7.1,113,21.2,84.4,16792
2024-06-07,C_01,9.0,110,24.8,86.0,26053
2024-06-08,C_01,7.7,89,23.0,71.6,20732
2024-06-09,C_01,8.5,98,27.8,80.1,18476
2024-06-10,C_01,10.0,111,26.7,74.0,18417
2024-06-11,C_01,9.9,80,26.7,71.9,16645
2024-06-12,C_01,8.2,84,23.7,99.7,29755
2024-06-13,C_01,9.2,124,23.3,79.7,24397
2024-06-14,C_01,9.0,83,22.2,94.3,18030
2024-06-15,C_01,9.5,95,20.5,77.6,17872
2024-06-16,C_01,8.0,103,26.9,90.4,18072
2024-06-17,C_01,9.4,95,26.5,92.8,16854
2024-06-18,C_01,10.9,81,28.0,87.9,19021
2024-06-19,C_01,8.9,128,28.0,84.1,19662
2024-06-20,C_01,10.6,107,24.4,82.4,21514
2024-06-21,C_01,8.7,111,26.2,80.5,20031
2024-06-22,C_01,8.4,106,27.6,97.9,29222
2024-06-23,C_01,9.6,99,26.8,94.9,17708
2024-06-24,C_01,9.7,103,22.0,99.0,26694
2024-06-25,C_01,10.5,91,23.6,73.7,22112
2024-06-26,C_01,7.9,129,21.0,91.9,24524
2024-06-27,C_01,9.0,114,27.6,98.2,23393
2024-06-28,C_01,9.3,112,24.8,75.4,18507
2024-01-01,C_02,8.4,128,22.1,87.5,17297
2024-01-02,C_02,8.5,121,22.9,92.4,15874
2024-01-03,C_02,8.9,121,20.7,94.4,20560
2024-01-04,C_02,10.3,115,27.5,89.7,29531
2024-01-05,C_02,7.9,99,24.4,73.8,15689
2024-01-06,C_02,10.1,83,22.4,80.1,19000
2024-01-07,C_02,8.6,86,23.2,97.8,29298
2024-01-08,C_02,9.4,80,23.6,76.7,26333
2024-01-09,C_02,9.5,123,24.8,81.2,29974
2024-01-10,C_02,8.5,124,24.1,83.0,24614
2024-01-11,C_02,9.1,121,27.4,83.2,29289
2024-01-12,C_02,8.7,126,24.0,88.4,15671
2024-01-13,C_02,7.3,92,27.9,98.3,22927
2024-01-14,C_02,8.7,101,26.8,77.2,16171
2024-01-15,C_02,7.4,100,21.7,73.6,20591
2024-01-16,C_02,8.6,101,27.4,75.9,26918
2024-01-17,C_02,9.4,107,20.9,96.6,24135
2024-01-18,C_02,9.3,88,26.5,89.4,21342
2024-01-19,C_02,9.7,105,23.0,78.6,16449
2024-01-20,C_02,7.4,88,27.0,94.5,26929
2024-01-21,C_02,9.6,94,26.9,95.8,17539
2024-01-22,C_02,8.2,89,26.4,95.4,18959
2024-01-23,C_02,8.6,103,26.3,97.6,28183
2024-01-24,C_02,10.4,121,22.4,77.6,21285
2024-01-25,C_02,7.0,87,20.6,92.7,20432
2024-01-26,C_02,9.4,103,23.2,83.8,19260
2024-01-27,C_02,9.4,95,21.4,95.3,17361
2024-01-28,C_02,8.6,128,25.6,91.9,21164
2024-01-29,C_02,7.9,105,22.8,93.3,28393
2024-01-30,C_02,7.9,106,27.8,89.7,26844
2024-01-31,C_02,10.5,116,25.1,75.3,18670
2024-02-01,C_02,8.8,83,26.6,86.4,16753
2024-02-02,C_02,8.3,129,21.1,99.5,23100
2024-02-03,C_02,8.8,103,26.9,98.1,25544
2024-02-04,C_02,9.7,98,27.4,71.3,16938
2024-02-05,C_02,7.6,115,23.9,74.9,23562
2024-02-06,C_02,8.8,118,24.9,74.0,20976
2024-02-07,C_02,9.4,89,26.1,91.8,28140
2024-02-08,C_02,10.8,104,21.4,94.5,27671
2024-02-09,C_02,8.0,97,24.0,76.4,25123
2024-02-10,C_02,8.4,98,23.2,85.2,21588
2024-02-11,C_02,8.5,115,21.2,95.2,23616
2024-02-12,C_02,9.4,89,22.9,92.0,21304
2024-02-13,C_02,8.4,112,20.5,86.3,22345
2024-02-14,C_02,9.1,129,20.2,87.7,27916
2024-02-15,C_02,10.1,84,21.1,85.3,22875
2024-02-16,C_02,9.8,126,27.7,78.9,24086
2024-02-17,C_02,8.8,128,24.4,87.0,21633
2024-02-18,C_02,10.5,114,27.7,90.7,29662
2024-02-19,C_02,9.2,123,23.5,96.2,15597
2024-02-20,C_02,9.2,113,22.5,89.1,18062
2024-02-21,C_02,7.1,112,24.0,92.8,17336
2024-02-22,C_02,10.9,100,23.5,74.8,27880
2024-02-23,C_02,7.5,96,20.8,83.8,24879
2024-02-24,C_02,7.9,101,25.1,70.3,15572
2024-02-25,C_02,7.2,127,21.7,77.4,22521
2024-02-26,C_02,9.6,116,25.0,91.8,21171
2024-02-27,C_02,7.9,94,25.2,99.8,22097
2024-02-28,C_02,7.7,114,21.2,73.0,17090
2024-02-29,C_02,7.4,107,20.5,82.0,28992
2024-03-01,C_02,7.4,86,26.2,94.0,21566
2024-03-02,C_02,9.3,111,23.7,76.1,26861
2024-03-03,C_02,9.8,90,20.5,86.7,27464
2024-03-04,C_02,8.6,89,28.0,92.0,19624
2024-03-05,C_02,8.9,88,20.5,88.5,16633
2024-03-06,C_02,9.7,93,25.6,75.6,28253
2024-03-07,C_02,7.1,92,27.9,80.7,16517
2024-03-08,C_02,8.3,104,21.9,93.5,27485
2024-03-09,C_02,10.9,81,21.1,86.6,25849
2024-03-10,C_02,9.3,114,21.0,70.2,18648
2024-03-11,C_02,8.0,86,22.4,92.8,28140
2024-03-12,C_02,9.1,100,20.8,71.1,26780
2024-03-13,C_02,8.4,97,25.5,92.4,16537
2024-03-14,C_02,9.1,82,20.5,76.1,29357
2024-03-15,C_02,7.5,121,24.1,98.7,28368
2024-03-16,C_02,7.5,118,28.0,81.0,18137
2024-03-17,C_02,7.6,120,26.5,79.8,21985
2024-03-18,C_02,10.8,128,24.9,74.5,15097
2024-03-19,C_02,9.9,90,22.5,79.2,26407
2024-03-20,C_02,7.6,118,25.0,96.3,29191
2024-03-21,C_02,7.8,103,24.2,99.9,27722
2024-03-22,C_02,9.9,125,23.4,81.0,27924
2024-03-23,C_02,7.6,98,21.0,83.5,18750
2024-03-24,C_02,7.9,83,27.1,91.7,26349
2024-03-25,C_02,10.9,105,23.6,96.6,27875
2024-03-26,C_02,8.0,117,21.6,87.8,23535
2024-03-27,C_02,9.6,121,22.9,81.7,23174
2024-03-28,C_02,10.9,111,23.3,82.4,23103
2024-03-29,C_02,8.5,118,26.6,90.9,20413
2024-03-30,C_02,7.1,124,25.9,70.1,29267
2024-03-31,C_02,8.0,125,26.2,88.6,19666
2024-04-01,C_02,10.3,115,20.1,80.7,15610
2024-04-02,C_02,10.5,119,23.3,93.8,16727
2024-04-03,C_02,10.1,116,23.9,72.8,25482
2024-04-04,C_02,7.5,112,20.2,87.6,16854
2024-04-05,C_02,10.2,115,22.1,84.4,25800
2024-04-06,C_02,10.7,82,26.1,89.3,20055
2024-04-07,C_02,9.4,88,21.1,71.9,25271
2024-04-08,C_02,10.8,87,24.3,87.4,29726
2024-04-09,C_02,10.3,112,21.7,86.8,17324
2024-04-10,C_02,9.7,85,20.1,86.8,27819
2024-04-11,C_02,9.3,120,21.9,88.1,24369
2024-04-12,C_02,8.4,118,27.8,90.3,29718
2024-04-13,C_02,7.6,83,26.4,94.1,24283
2024-04-14,C_02,9.4,92,27.7,78.1,29189
2024-04-15,C_02,8.3,128,23.9,94.8,28171
2024-04-16,C_02,10.5,81,20.9,84.9,29549
2024-04-17,C_02,11.0,84,24.4,72.3,20774
2024-04-18,C_02,10.0,123,23.6,71.8,21519
2024-04-19,C_02,7.4,106,26.8,80.0,25983
2024-04-20,C_02,8.2,111,20.8,93.5,29548
2024-04-21,C_02,7.4,100,23.9,91.2,29414
2024-04-22,C_02,9.6,87,21.2,93.7,16749
2024-04-23,C_02,10.1,117,22.6,85.5,25867
2024-04-24,C_02,10.7,87,25.9,83.2,29939
2024-04-25,C_02,8.8,129,23.8,74.4,15781
2024-04-26,C_02,10.6,82,23.0,79.8,22548
2024-04-27,C_02,10.5,123,23.2,83.0,26240
2024-04-28,C_02,8.3,82,23.7,72.7,21823
2024-04-29,C_02,10.5,101,26.3,76.6,17105
2024-04-30,C_02,8.5,85,27.1,87.9,18867
2024-05-01,C_02,8.2,81,27.6,92.1,22193
2024-05-02,C_02,9.6,102,26.3,100.0,19976
2024-05-03,C_02,8.3,123,22.5,98.0,27734
2024-05-04,C_02,9.5,81,25.5,89.3,17113
2024-05-05,C_02,9.4,117,23.5,82.6,20879
2024-05-06,C_02,9.3,96,22.0,89.1,28565
2024-05-07,C_02,8.5,114,26.7,93.6,18970
2024-05-08,C_02,9.2,113,20.3,73.6,25183
2024-05-09,C_02,9.4,102,27.2,82.3,24259
2024-05-10,C_02,9.2,109,23.7,95.2,22264
2024-05-11,C_02,8.8,87,25.1,81.5,16577
2024-05-12,C_02,7.1,101,25.3,87.2,24203
2024-05-13,C_02,9.3,123,27.2,87.6,17274
2024-05-14,C_02,7.7,115,25.1,75.5,19869
2024-05-15,C_02,9.6,84,24.9,80.9,25006
2024-05-16,C_02,10.0,92,20.5,80.0,21744
2024-05-17,C_02,9.0,108,24.1,70.8,17426
2024-05-18,C_02,9.2,110,21.2,70.7,28489
2024-05-19,C_02,10.8,126,25.9,95.0,20546
2024-05-20,C_02,10.4,95,24.1,78.2,21852
2024-05-21,C_02,10.7,121,25.4,85.5,27594
2024-05-22,C_02,10.3,109,20.3,79.0,28066
2024-05-23,C_02,7.4,95,20.7,98.2,17551
2024-05-24,C_02,7.6,91,25.7,77.8,21411
2024-05-25,C_02,9.1,96,20.6,82.9,26849
2024-05-26,C_02,8.0,95,20.6,96.2,15007
2024-05-27,C_02,8.9,91,20.1,95.3,23087
2024-05-28,C_02,8.6,87,27.7,75.6,17555
2024-05-29,C_02,9.2,99,25.9,94.1,15475
2024-05-30,C_02,10.0,82,22.8,83.7,20416
2024-05-31,C_02,9.9,95,22.4,84.5,25403
2024-06-01,C_02,9.1,109,22.8,74.0,23676
2024-06-02,C_02,10.3,124,26.2,72.4,22239
2024-06-03,C_02,8.7,102,25.3,91.8,21710
2024-06-04,C_02,10.6,107,21.5,84.9,20000
2024-06-05,C_02,7.3,119,21.4,83.1,19654
2024-06-06,C_02,10.8,84,20.8,91.9,23078
2024-06-07,C_02,9.6,99,25.3,93.0,21063
2024-06-08,C_02,8.5,119,26.1,74.8,17285
2024-06-09,C_02,7.8,123,22.1,88.3,20223
2024-06-10,C_02,8.9,80,20.2,74.1,28521
2024-06-11,C_02,7.8,109,20.7,92.5,29889
2024-06-12,C_02,7.7,100,27.7,89.7,21971
2024-06-13,C_02,9.5,99,22.4,98.7,27755
2024-06-14,C_02,9.1,85,26.2,72.1,18525
2024-06-15,C_02,9.7,101,25.0,71.7,26531
2024-06-16,C_02,10.7,97,23.1,78.5,29721
2024-06-17,C_02,9.1,87,21.6,77.9,17822
2024-06-18,C_02,9.3,118,21.0,77.4,19943
2024-06-19,C_02,7.4,111,24.9,97.2,21530
2024-06-20,C_02,9.9,112,26.2,77.5,26116
2024-06-21,C_02,8.6,95,25.2,78.2,15258
2024-06-22,C_02,10.9,91,24.2,92.8,15282
2024-06-23,C_02,10.3,117,20.3,83.5,28937
2024-06-24,C_02,9.1,113,27.7,93.3,16898
2024-06-25,C_02,7.5,93,26.4,72.0,19135
2024-06-26,C_02,10.4,115,22.3,84.6,21629
2024-06-27,C_02,10.2,112,27.8,71.0,26168
2024-06-28,C_02,7.7,102,24.8,71.9,25459
2024-01-01,C_03,8.5,92,21.4,84.8,25858
2024-01-02,C_03,8.5,124,20.8,78.5,21239
2024-01-03,C_03,7.2,89,26.4,93.6,23026
2024-01-04,C_03,10.1,115,21.0,81.9,18306
2024-01-05,C_03,8.7,88,21.0,85.4,15897
2024-01-06,C_03,10.3,106,26.8,77.6,24277
2024-01-07,C_03,10.4,113,22.8,99.6,24471
2024-01-08,C_03,7.8,80,20.2,78.7,29896
2024-01-09,C_03,9.6,111,20.4,93.1,29683
2024-01-10,C_03,8.9,104,21.1,82.8,15670
2024-01-11,C_03,10.5,108,21.7,76.2,22291
2024-01-12,C_03,7.9,86,25.3,94.0,16505
2024-01-13,C_03,9.7,128,21.3,80.0,21460
2024-01-14,C_03,9.4,82,21.0,96.0,26767
2024-01-15,C_03,8.2,99,26.1,97.5,28006
2024-01-16,C_03,7.5,99,25.4,95.8,20167
2024-01-17,C_03,9.6,109,23.5,71.1,25147
2024-01-18,C_03,10.0,114,24.4,93.6,20255
2024-01-19,C_03,8.3,114,22.5,82.3,15249
2024-01-20,C_03,9.6,128,23.9,96.2,21457
2024-01-21,C_03,8.6,118,24.1,89.1,16892
2024-01-22,C_03,9.9,106,23.1,95.0,18439
2024-01-23,C_03,7.8,105,27.3,85.0,25045
2024-01-24,C_03,10.6,93,20.1,86.1,17854
2024-01-25,C_03,8.1,96,26.3,74.3,24695
2024-01-26,C_03,8.5,97,21.0,93.5,26577
2024-01-27,C_03,7.2,124,26.4,82.6,26763
2024-01-28,C_03,7.4,108,24.9,85.0,18792
2024-01-29,C_03,9.1,99,26.7,93.6,26618
2024-01-30,C_03,8.1,106,20.8,88.0,29820
2024-01-31,C_03,10.3,97,24.5,76.0,20330
2024-02-01,C_03,7.1,83,24.0,87.7,22871
2024-02-02,C_03,8.5,80,25.6,82.2,23235
2024-02-03,C_03,8.3,129,24.3,84.1,18612
2024-02-04,C_03,7.1,80,24.3,70.8,17618
2024-02-05,C_03,7.5,105,23.4,76.3,19678
2024-02-06,C_03,8.7,124,22.5,78.4,18163
2024-02-07,C_03,9.0,99,23.9,91.4,24480
2024-02-08,C_03,8.6,102,20.9,70.3,17942
2024-02-09,C_03,9.1,89,27.7,82.3,23411
2024-02-10,C_03,9.4,90,25.7,97.7,16925
2024-02-11,C_03,7.0,120,27.6,73.4,17972
2024-02-12,C_03,8.9,120,21.8,85.5,26705
2024-02-13,C_03,10.9,84,27.0,93.6,25640
2024-02-14,C_03,9.1,80,26.5,98.3,26663
2024-02-15,C_03,9.7,96,25.4,92.4,25966
2024-02-16,C_03,8.2,101,25.0,91.6,15990
2024-02-17,C_03,10.1,113,22.5,94.8,26138
2024-02-18,C_03,10.1,124,26.5,83.4,16812
2024-02-19,C_03,9.1,120,24.0,94.2,28145
2024-02-20,C_03,10.9,108,20.6,70.2,23995
2024-02-21,C_03,7.5,83,22.5,97.7,15489
2024-02-22,C_03,7.1,84,27.5,83.3,26748
2024-02-23,C_03,10.1,90,26.8,86.6,20876
2024-02-24,C_03,10.2,100,27.9,77.6,24685
2024-02-25,C_03,7.5,114,25.0,92.3,18645
2024-02-26,C_03,8.1,91,22.0,72.3,22081
2024-02-27,C_03,7.1,105,21.3,96.2,17891
2024-02-28,C_03,8.2,98,21.5,94.8,24897
2024-02-29,C_03,10.1,124,20.2,76.5,18516
2024-03-01,C_03,9.1,86,23.1,94.3,18340
2024-03-02,C_03,8.4,126,21.5,93.6,21410
2024-03-03,C_03,8.5,86,23.3,89.0,15053
2024-03-04,C_03,7.0,105,27.5,81.2,17575
2024-03-05,C_03,8.2,119,23.4,78.1,26783
2024-03-06,C_03,9.6,84,27.0,77.0,15615
2024-03-07,C_03,10.9,100,24.8,79.6,28370
2024-03-08,C_03,10.4,93,22.0,97.1,20944
2024-03-09,C_03,7.1,83,22.8,72.3,22404
2024-03-10,C_03,10.6,102,20.7,94.9,15954
2024-03-11,C_03,10.1,121,22.7,80.5,25625
2024-03-12,C_03,10.1,99,25.4,85.6,16629
2024-03-13,C_03,8.8,94,20.6,93.8,25973
2024-03-14,C_03,8.6,129,21.6,96.5,21859
2024-03-15,C_03,8.2,124,23.1,80.3,23841
2024-03-16,C_03,7.3,108,27.9,83.9,25539
2024-03-17,C_03,7.9,87,26.3,82.4,27682
2024-03-18,C_03,8.0,120,25.9,70.4,18278
2024-03-19,C_03,8.9,127,20.9,78.9,20455
2024-03-20,C_03,10.0,98,26.2,83.8,25832
2024-03-21,C_03,8.9,127,26.3,82.3,18801
2024-03-22,C_03,7.2,118,24.8,91.7,17561
2024-03-23,C_03,10.8,125,27.9,81.5,26441
2024-03-24,C_03,10.8,107,22.6,84.7,21539
2024-03-25,C_03,10.1,125,27.5,82.9,15370
2024-03-26,C_03,11.0,106,27.3,92.2,15857
2024-03-27,C_03,9.2,83,20.1,95.9,19886
2024-03-28,C_03,10.9,94,23.6,86.0,27945
2024-03-29,C_03,7.3,114,27.8,93.7,22485
2024-03-30,C_03,8.5,116,20.8,78.9,28680
2024-03-31,C_03,7.9,80,24.4,86.2,15383
2024-04-01,C_03,7.8,82,27.8,80.4,29397
2024-04-02,C_03,7.6,126,24.4,82.4,27069
2024-04-03,C_03,9.5,103,21.5,92.0,25744
2024-04-04,C_03,10.1,106,24.7,96.4,19334
2024-04-05,C_03,9.3,119,21.6,73.6,19290
2024-04-06,C_03,7.6,115,24.2,89.0,17725
2024-04-07,C_03,10.2,113,20.6,87.5,27226
2024-04-08,C_03,9.5,108,24.8,73.6,26485
2024-04-09,C_03,8.6,103,24.1,76.4,21204
2024-04-10,C_03,9.7,103,25.9,79.3,28440
2024-04-11,C_03,8.0,121,25.0,75.0,21111
2024-04-12,C_03,8.4,83,24.4,77.3,19251
2024-04-13,C_03,10.7,82,25.5,78.0,27180
2024-04-14,C_03,8.2,113,21.2,80.1,15922
2024-04-15,C_03,8.9,128,24.8,92.5,17915
2024-04-16,C_03,10.6,102,21.4,87.2,26142
2024-04-17,C_03,9.8,102,27.4,99.6,22957
2024-04-18,C_03,7.2,124,20.5,82.4,28897
2024-04-19,C_03,7.6,84,23.4,92.6,18046
2024-04-20,C_03,7.0,110,25.6,96.1,24166
2024-04-21,C_03,9.5,120,23.7,90.4,16230
2024-04-22,C_03,8.8,85,20.7,82.4,25627
2024-04-23,C_03,7.5,116,24.4,92.6,22647
2024-04-24,C_03,10.8,89,25.1,76.1,25006
2024-04-25,C_03,9.1,119,25.6,79.8,26126
2024-04-26,C_03,8.0,86,23.0,86.4,19933
2024-04-27,C_03,9.0,118,24.5,87.3,29295
2024-04-28,C_03,9.7,117,23.6,70.7,24555
2024-04-29,C_03,7.3,100,25.4,98.4,18940
2024-04-30,C_03,8.1,99,24.7,90.9,21483
2024-05-01,C_03,10.2,82,24.2,84.9,15203
2024-05-02,C_03,8.8,101,22.0,98.0,15160
2024-05-03,C_03,9.2,126,20.0,83.2,27679
2024-05-04,C_03,8.7,83,21.4,99.4,23960
2024-05-05,C_03,7.2,107,20.9,85.4,18748
2024-05-06,C_03,7.7,91,23.6,73.4,21718
2024-05-07,C_03,8.8,117,24.9,92.9,17581
2024-05-08,C_03,7.8,115,21.7,90.4,16093
2024-05-09,C_03,7.2,126,27.5,93.2,19500
2024-05-10,C_03,10.4,120,20.1,98.5,23799
2024-05-11,C_03,10.9,84,26.2,93.3,20710
2024-05-12,C_03,10.2,92,25.0,88.3,24732
2024-05-13,C_03,10.4,102,23.0,95.7,17875
2024-05-14,C_03,8.0,129,20.4,90.2,18191
2024-05-15,C_03,10.8,109,25.0,82.2,16837
2024-05-16,C_03,7.8,116,23.1,96.6,15689
